"","Year","Month","Day","Time","TrafX_Count","Date_Time"
"1","22","02","12","18",0,"22 02 12 18"
"2","22","02","12","19",0,"22 02 12 19"
"3","22","02","12","20",0,"22 02 12 20"
"4","22","02","12","21",0,"22 02 12 21"
"5","22","02","12","22",0,"22 02 12 22"
"6","22","02","12","23",0,"22 02 12 23"
"7","22","02","13","00",0,"22 02 13 00"
"8","22","02","13","01",0,"22 02 13 01"
"9","22","02","13","02",0,"22 02 13 02"
"10","22","02","13","03",0,"22 02 13 03"
"11","22","02","13","04",0,"22 02 13 04"
"12","22","02","13","05",0,"22 02 13 05"
"13","22","02","13","06",0,"22 02 13 06"
"14","22","02","13","07",4,"22 02 13 07"
"15","22","02","13","08",6,"22 02 13 08"
"16","22","02","13","09",12,"22 02 13 09"
"17","22","02","13","10",10,"22 02 13 10"
"18","22","02","13","11",11,"22 02 13 11"
"19","22","02","13","12",20,"22 02 13 12"
"20","22","02","13","13",13,"22 02 13 13"
"21","22","02","13","14",3,"22 02 13 14"
"22","22","02","13","15",0,"22 02 13 15"
"23","22","02","13","16",4,"22 02 13 16"
"24","22","02","13","17",0,"22 02 13 17"
"25","22","02","13","18",0,"22 02 13 18"
"26","22","02","13","19",0,"22 02 13 19"
"27","22","02","13","20",0,"22 02 13 20"
"28","22","02","13","21",0,"22 02 13 21"
"29","22","02","13","22",0,"22 02 13 22"
"30","22","02","13","23",0,"22 02 13 23"
"31","22","02","14","00",0,"22 02 14 00"
"32","22","02","14","01",0,"22 02 14 01"
"33","22","02","14","02",0,"22 02 14 02"
"34","22","02","14","03",0,"22 02 14 03"
"35","22","02","14","04",0,"22 02 14 04"
"36","22","02","14","05",0,"22 02 14 05"
"37","22","02","14","06",0,"22 02 14 06"
"38","22","02","14","07",1,"22 02 14 07"
"39","22","02","14","08",8,"22 02 14 08"
"40","22","02","14","09",18,"22 02 14 09"
"41","22","02","14","10",16,"22 02 14 10"
"42","22","02","14","11",9,"22 02 14 11"
"43","22","02","14","12",14,"22 02 14 12"
"44","22","02","14","13",11,"22 02 14 13"
"45","22","02","14","14",15,"22 02 14 14"
"46","22","02","14","15",21,"22 02 14 15"
"47","22","02","14","16",7,"22 02 14 16"
"48","22","02","14","17",21,"22 02 14 17"
"49","22","02","14","18",0,"22 02 14 18"
"50","22","02","14","19",0,"22 02 14 19"
"51","22","02","14","20",0,"22 02 14 20"
"52","22","02","14","21",0,"22 02 14 21"
"53","22","02","14","22",0,"22 02 14 22"
"54","22","02","14","23",0,"22 02 14 23"
"55","22","02","15","00",0,"22 02 15 00"
"56","22","02","15","01",0,"22 02 15 01"
"57","22","02","15","02",0,"22 02 15 02"
"58","22","02","15","03",0,"22 02 15 03"
"59","22","02","15","04",0,"22 02 15 04"
"60","22","02","15","05",0,"22 02 15 05"
"61","22","02","15","06",0,"22 02 15 06"
"62","22","02","15","07",1,"22 02 15 07"
"63","22","02","15","08",15,"22 02 15 08"
"64","22","02","15","09",9,"22 02 15 09"
"65","22","02","15","10",11,"22 02 15 10"
"66","22","02","15","11",24,"22 02 15 11"
"67","22","02","15","12",8,"22 02 15 12"
"68","22","02","15","13",14,"22 02 15 13"
"69","22","02","15","14",15,"22 02 15 14"
"70","22","02","15","15",26,"22 02 15 15"
"71","22","02","15","16",39,"22 02 15 16"
"72","22","02","15","17",12,"22 02 15 17"
"73","22","02","15","18",0,"22 02 15 18"
"74","22","02","15","19",0,"22 02 15 19"
"75","22","02","15","20",0,"22 02 15 20"
"76","22","02","15","21",0,"22 02 15 21"
"77","22","02","15","22",2,"22 02 15 22"
"78","22","02","15","23",4,"22 02 15 23"
"79","22","02","16","00",0,"22 02 16 00"
"80","22","02","16","01",0,"22 02 16 01"
"81","22","02","16","02",0,"22 02 16 02"
"82","22","02","16","03",0,"22 02 16 03"
"83","22","02","16","04",0,"22 02 16 04"
"84","22","02","16","05",0,"22 02 16 05"
"85","22","02","16","06",0,"22 02 16 06"
"86","22","02","16","07",0,"22 02 16 07"
"87","22","02","16","08",9,"22 02 16 08"
"88","22","02","16","09",28,"22 02 16 09"
"89","22","02","16","10",17,"22 02 16 10"
"90","22","02","16","11",14,"22 02 16 11"
"91","22","02","16","12",13,"22 02 16 12"
"92","22","02","16","13",15,"22 02 16 13"
"93","22","02","16","14",34,"22 02 16 14"
"94","22","02","16","15",19,"22 02 16 15"
"95","22","02","16","16",27,"22 02 16 16"
"96","22","02","16","17",20,"22 02 16 17"
"97","22","02","16","18",1,"22 02 16 18"
"98","22","02","16","19",0,"22 02 16 19"
"99","22","02","16","20",0,"22 02 16 20"
"100","22","02","16","21",0,"22 02 16 21"
"101","22","02","16","22",0,"22 02 16 22"
"102","22","02","16","23",0,"22 02 16 23"
"103","22","02","17","00",0,"22 02 17 00"
"104","22","02","17","01",0,"22 02 17 01"
"105","22","02","17","02",0,"22 02 17 02"
"106","22","02","17","03",0,"22 02 17 03"
"107","22","02","17","04",0,"22 02 17 04"
"108","22","02","17","05",0,"22 02 17 05"
"109","22","02","17","06",0,"22 02 17 06"
"110","22","02","17","07",1,"22 02 17 07"
"111","22","02","17","08",11,"22 02 17 08"
"112","22","02","17","09",10,"22 02 17 09"
"113","22","02","17","10",6,"22 02 17 10"
"114","22","02","17","11",10,"22 02 17 11"
"115","22","02","17","12",38,"22 02 17 12"
"116","22","02","17","13",29,"22 02 17 13"
"117","22","02","17","14",18,"22 02 17 14"
